ItemNumber,StockNow,ChangeQty,StockChangeDateTime,ChangeSource,ItemImageId
"PC112287","2","1","2016-07-18 18:35:36","DIRECT ADJUSTMENT BY Donald","218f7d36-74c7-42ba-9225-1cfc4a9b3fe6"
"PC300984","1","1","2016-07-18 18:35:33","DIRECT ADJUSTMENT BY Katrina",""
"PC110257","9","1","2016-07-18 18:35:07","DIRECT ADJUSTMENT BY Devan","47f072c6-bdb1-4e38-a997-be461874f0c5"
"PC112337","1","1","2016-07-18 18:33:22","DIRECT ADJUSTMENT",""
"PC130397","1","1","2016-07-18 18:32:43","DIRECT ADJUSTMENT BY Devan","36cec9f7-1bfe-4eb9-83bf-faa1e692bcab"
"PC119586","1","1","2016-07-18 18:31:52","DIRECT ADJUSTMENT",""
"PC111282","1","1","2016-07-18 18:31:08","DIRECT ADJUSTMENT",""
"PC135735","1","1","2016-07-18 18:30:56","DIRECT ADJUSTMENT",""
"PC300930","2","1","2016-07-18 18:29:22","DIRECT ADJUSTMENT BY Katrina","bc085daa-08f6-4321-9d6c-4140e89d21a4"
"PC135188","1","1","2016-07-18 18:27:56","DIRECT ADJUSTMENT",""
"PC115725","1","1","2016-07-18 18:25:34","DIRECT ADJUSTMENT",""
"PC300542","3","1","2016-07-18 18:23:55","DIRECT ADJUSTMENT BY Katrina","c1ab02a6-6829-46e3-9700-bc3685cea38a"
"PC109858","11","1","2016-07-18 18:22:13","DIRECT ADJUSTMENT BY Devan","99e88bba-3b10-47c6-9baa-df74e29f561f"
"PC300983","1","1","2016-07-18 18:22:02","DIRECT ADJUSTMENT BY Katrina",""
"PC137070","6","1","2016-07-18 18:21:22","DIRECT ADJUSTMENT BY Devan","b317c880-43e6-4127-8c69-f1a6b586a57b"
"PC130463","1","1","2016-07-18 18:20:21","DIRECT ADJUSTMENT BY Devan","5baea128-4bb8-4911-a991-3df21b804f1d"
"PC132156","2","1","2016-07-18 18:16:40","DIRECT ADJUSTMENT BY Devan","722029bd-53a3-429b-b3b6-315fb3109171"
"PC112003","1","1","2016-07-18 18:16:24","DIRECT ADJUSTMENT BY Donald","6197799f-98e3-4684-b887-d748326031c4"
"PC300982","1","1","2016-07-18 18:15:54","DIRECT ADJUSTMENT BY Katrina",""
"PC112021","3","1","2016-07-18 18:14:37","DIRECT ADJUSTMENT BY Donald","73ba1732-7954-4b9a-933f-07ba3d368c51"
"PC110257","8","1","2016-07-18 18:13:46","DIRECT ADJUSTMENT BY Devan","47f072c6-bdb1-4e38-a997-be461874f0c5"
"PC111996","10","1","2016-07-18 18:12:48","DIRECT ADJUSTMENT BY Donald","ff22a9d2-8bc6-4af1-a279-8811b97e9d2f"
"PC137365","1","1","2016-07-18 18:11:25","DIRECT ADJUSTMENT BY Devan","ee2a1274-a86d-48f8-9c1e-8a028c5b6f4d"
"PC108148","2","1","2016-07-18 18:09:43","DIRECT ADJUSTMENT BY Donald","8c75e3e1-bd63-4858-aa71-f8ab5271e1a2"
"PC112009","1","1","2016-07-18 18:08:12","DIRECT ADJUSTMENT BY Donald","e997fbde-21e6-4e80-b11c-6f05105cffa3"
"PC130159","1","1","2016-07-18 18:08:03","DIRECT ADJUSTMENT BY Devan","0d7bc000-5715-49a0-91e6-3bdcf777a6e1"
"PC118796","1","1","2016-07-18 18:06:15","DIRECT ADJUSTMENT",""
"PC107536","32","1","2016-07-18 18:05:58","DIRECT ADJUSTMENT BY Lauren","9577bacb-7641-409d-b1b6-48944ac31e83"
"PC107536","31","1","2016-07-18 18:05:25","DIRECT ADJUSTMENT BY Lauren","9577bacb-7641-409d-b1b6-48944ac31e83"
"PC135145","2","1","2016-07-18 18:04:54","DIRECT ADJUSTMENT BY Donald","813b61ef-c6dc-4400-a441-2bdd315f1ff4"
"PC118214","4","1","2016-07-18 18:03:56","DIRECT ADJUSTMENT BY Devan","d8e91fc4-2ddf-45af-9f61-0f9d94a55089"
"PC135144","18","1","2016-07-18 18:00:41","DIRECT ADJUSTMENT BY Donald","ad980cef-c332-477d-aee9-8f99c9a153d5"
"PC101249","35","1","2016-07-18 18:00:13","DIRECT ADJUSTMENT BY Devan","53960237-3865-4298-96b9-48dc58d7da37"
"PC110546","2","1","2016-07-18 17:58:30","DIRECT ADJUSTMENT BY Devan","ff9bee4b-c770-41c2-81c7-239167feac80"
"PC106774","2","1","2016-07-18 17:58:19","DIRECT ADJUSTMENT BY Donald","72453787-c7bb-4f0a-b655-dde19a71e127"
"PC106771","2","1","2016-07-18 17:56:40","DIRECT ADJUSTMENT BY Donald","23511a19-c29d-40f1-9fef-93b7e0b4f272"
"PC115561","3","1","2016-07-18 17:54:02","DIRECT ADJUSTMENT BY Devan","8f6c34fd-0134-4430-be12-43053b06e009"
"PC115561","3","1","2016-07-18 17:54:02","DIRECT ADJUSTMENT BY Devan","de1c9a60-a6c6-4479-8a44-eddaaeded831"
"PC106777","2","1","2016-07-18 17:53:52","DIRECT ADJUSTMENT BY Donald","9729ae99-93cc-4048-a84c-216783653fa6"
"PC106778","2","1","2016-07-18 17:51:45","DIRECT ADJUSTMENT BY Donald","90bcb3bb-b5b8-4df2-82ee-c0b6defbe518"
"PC129740","2","1","2016-07-18 17:51:43","DIRECT ADJUSTMENT BY Devan","3beabee0-188c-460d-beca-137c1aca6981"
"PC102370","1","1","2016-07-18 17:50:06","DIRECT ADJUSTMENT BY Devan","f286db9f-13b1-4bc9-803e-cbb82916a89f"
"PC106776","2","1","2016-07-18 17:49:45","DIRECT ADJUSTMENT BY Donald","8e2e1de0-73db-4861-add3-7575648792dc"
"PC900747","2","1","2016-07-18 17:48:00","DIRECT ADJUSTMENT BY Devan","aba787f9-8061-4eb7-8053-35a74fc40825"
"PC900747","2","1","2016-07-18 17:48:00","DIRECT ADJUSTMENT BY Devan","5fb82336-ad52-4672-881a-e70995cf31bc"
"PC115194","15","1","2016-07-18 17:46:59","DIRECT ADJUSTMENT BY Donald","9d0fcf1f-ad98-4a3e-bfc8-2432a42c1642"
"PC138915","12","1","2016-07-18 17:45:27","DIRECT ADJUSTMENT BY Devan","b28e1da5-1f1b-40b7-b650-c68c23d924c6"
"PC112018","15","1","2016-07-18 17:44:45","DIRECT ADJUSTMENT BY Donald","d4365287-aab3-4122-a4a2-761d3453fd70"
"PC112100","6","1","2016-07-18 17:23:46","DIRECT ADJUSTMENT BY Donald","1d02b6db-0a6a-4ecf-9a29-89b6f74d2b77"
"PC128186","1","1","2016-07-18 17:18:47","DIRECT ADJUSTMENT",""
"PC135699","1","1","2016-07-18 17:12:46","DIRECT ADJUSTMENT BY Donald","3a831490-c928-4b11-9ec2-7524a62645ab"
"PC106779","2","1","2016-07-18 17:01:11","DIRECT ADJUSTMENT BY Donald","833c4c36-c02b-4ae3-96d9-8d7d87831bfe"
"PC107622","6","1","2016-07-18 16:57:00","DIRECT ADJUSTMENT BY Donald","3fb45fce-ed77-45bc-aa63-bade7b928413"
"PC130691","1","1","2016-07-18 16:54:30","DIRECT ADJUSTMENT BY Donald","29ade9c5-c4a8-4d88-aafc-42fd29da6363"
"PC135522","1","1","2016-07-18 16:52:35","DIRECT ADJUSTMENT BY Devan","677f8e17-da62-4e04-a0ba-b7a913a7ee5d"
"PC107623","5","1","2016-07-18 16:51:09","DIRECT ADJUSTMENT BY Donald","a6848636-2801-462f-88b9-2d19fedf789e"
"PC123938","8","1","2016-07-18 16:51:06","DIRECT ADJUSTMENT BY Devan","32d77938-7de2-4924-b7e6-408485d8178e"
"PC300415","1","1","2016-07-18 16:50:36","DIRECT ADJUSTMENT BY Katrina","75949723-d654-466f-92df-2981094887dc"
"PC300382","2","1","2016-07-18 16:49:09","DIRECT ADJUSTMENT BY Katrina","9609fffe-0440-4a2b-a70a-8e965fd96bb2"
"PC123987","8","1","2016-07-18 16:47:46","DIRECT ADJUSTMENT BY Devan","6b89b355-0079-4a68-ac96-36f992ecbad2"
"PC109766","1","1","2016-07-18 16:47:27","DIRECT ADJUSTMENT BY Donald","aff18170-8642-41e8-ba25-fad56cd367a3"
"PC135410","2","1","2016-07-18 16:45:55","DIRECT ADJUSTMENT BY Donald","2e2e1901-508c-4c45-9ae6-7a9c4c399777"
"PC107799","25","1","2016-07-18 16:45:07","DIRECT ADJUSTMENT BY Devan","986377fc-018d-49a6-b201-8ff3eb4726e3"
"PC107777","25","1","2016-07-18 16:43:24","DIRECT ADJUSTMENT BY Devan","3f133e8b-30d3-4aef-9206-22b931bb28ab"
"PC107627","2","1","2016-07-18 16:42:41","DIRECT ADJUSTMENT BY Donald","9e51cbd6-e724-40b0-90dd-1556246a7c1c"
"PC120698","1","1","2016-07-18 16:41:08","DIRECT ADJUSTMENT",""
"PC107834","30","1","2016-07-18 16:37:54","DIRECT ADJUSTMENT BY Devan","6d69ff27-52da-4904-816d-fc228c7af91e"
"PC135939","1","1","2016-07-18 16:37:03","DIRECT ADJUSTMENT BY Donald","83c0db63-a04e-46c2-aea9-932015f2bcbb"
"PC107536","30","1","2016-07-18 16:36:36","DIRECT ADJUSTMENT BY Lauren","9577bacb-7641-409d-b1b6-48944ac31e83"
"PC107882","15","1","2016-07-18 16:36:21","DIRECT ADJUSTMENT BY Devan","b1be59b9-3017-4060-835f-14dec99992be"
"PC107881","2","1","2016-07-18 16:34:52","DIRECT ADJUSTMENT BY Devan","a3cae190-5594-4a5f-a330-7185c93cd1e0"
"PC103019","3","1","2016-07-18 16:34:41","DIRECT ADJUSTMENT BY Lauren","e7d90bd5-bcd9-4c41-9833-2cdd95e16b65"
"PC107626","2","1","2016-07-18 16:34:04","DIRECT ADJUSTMENT BY Donald","74819626-096d-4c44-aad4-556f8bf3f29c"
"PC101249","34","1","2016-07-18 16:33:10","DIRECT ADJUSTMENT BY Lauren","53960237-3865-4298-96b9-48dc58d7da37"
"PC136000","1","1","2016-07-18 16:32:33","DIRECT ADJUSTMENT BY Devan","b05c269f-19de-4902-a220-28c6280ea513"
"9091","11","1","2016-07-18 16:32:27","DIRECT ADJUSTMENT BY Lauren","95c7c352-1e48-42be-94c4-9f09e9b11235"
"PC107629","3","1","2016-07-18 16:30:35","DIRECT ADJUSTMENT BY Donald","771d1a3d-188c-4c87-91eb-58359b668ecd"
"PC129144","1","1","2016-07-18 16:29:49","DIRECT ADJUSTMENT BY Devan","3620fc99-a0d5-4c1a-83e8-b3f17a989668"
"PC107623","4","1","2016-07-18 16:28:07","DIRECT ADJUSTMENT BY Donald","a6848636-2801-462f-88b9-2d19fedf789e"
"PC107622","5","1","2016-07-18 16:25:49","DIRECT ADJUSTMENT BY Donald","3fb45fce-ed77-45bc-aa63-bade7b928413"
"PC135625","1","1","2016-07-18 16:23:10","DIRECT ADJUSTMENT BY Devan","4579a604-b7fb-4825-b1fd-1769b327f20b"
"PC107538","35","1","2016-07-18 16:21:38","DIRECT ADJUSTMENT BY Donald","528157e4-51d6-4da3-9e71-63a9f0b0cb4b"
"PC106631","1","1","2016-07-18 16:21:21","DIRECT ADJUSTMENT BY Devan",""
"PC101374","5","1","2016-07-18 16:20:06","DIRECT ADJUSTMENT BY Lauren","f5d1bafd-3b3e-4e7d-942f-02a1de554b1e"
"PC107538","34","1","2016-07-18 16:19:55","DIRECT ADJUSTMENT BY Donald","528157e4-51d6-4da3-9e71-63a9f0b0cb4b"
"PC106450","4","1","2016-07-18 16:19:44","DIRECT ADJUSTMENT BY Devan","b6ce10b9-6950-4cb7-9a94-eb408dde6871"
"PC101373","5","1","2016-07-18 16:19:36","DIRECT ADJUSTMENT BY Lauren","27b8041a-31a9-46aa-925b-a7348b5e248c"
"PC106993","4","1","2016-07-18 16:18:07","DIRECT ADJUSTMENT BY Lauren","82ca9f8b-f750-4aa8-b706-0fce3df1cabc"
"PC106993","4","1","2016-07-18 16:18:07","DIRECT ADJUSTMENT BY Lauren","fecf66d1-9c45-4273-9667-92154ef4776c"
"PC135055","1","1","2016-07-18 16:17:57","DIRECT ADJUSTMENT BY Devan","7d7be250-23dd-4b11-ab3c-ed61405f43b5"
"PC107892","3","1","2016-07-18 16:17:27","DIRECT ADJUSTMENT BY Donald","e7030586-1b3e-4d07-9ed3-bcdfb0da268e"
"PC106994","2","1","2016-07-18 16:16:33","DIRECT ADJUSTMENT BY Lauren","a614ee22-14a6-4e97-b063-3c995516960d"
"PC106994","2","1","2016-07-18 16:16:33","DIRECT ADJUSTMENT BY Lauren","9d97844e-59c1-42e0-b045-3e0ccb434e0a"
"PC106584","2","1","2016-07-18 16:15:54","DIRECT ADJUSTMENT BY Devan","255484ad-4219-444d-a10a-d0d27dac128e"
"PC114647","3","1","2016-07-18 16:15:05","DIRECT ADJUSTMENT BY Donald","d9bb7556-d690-411d-9343-bbff7e262c3f"
"PC114647","3","1","2016-07-18 16:15:05","DIRECT ADJUSTMENT BY Donald","b9d1aad7-0542-452a-91c4-fc232777457a"
"PC135741","2","1","2016-07-18 16:14:53","DIRECT ADJUSTMENT BY Lauren","53e4a24c-b67e-4568-b6df-3873a4396b84"
